id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
3693784;Bordeaux new flat TERRACE + PARKING;18796190;Julie;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.82697647418808;-0.5975400046323962;Entire home/apt;83;2;56;31/08/2018;1.13;17;204
3695348;Studio dans le cœur historique;18819458;Raphaël;Bordeaux;Centre ville (Bordeaux);44.8413943590294;-0.5724437668675206;Entire home/apt;45;2;108;05/09/2018;2.34;1;326
3703259;Fantastic 52sqm with a lift in downtown Bordeaux;9382960;Kareen;Bordeaux;Centre ville (Bordeaux);44.840462876251124;-0.5728233036199311;Entire home/apt;125;3;9;12/05/2018;0.19;69;340
3706599;Charming split-level apartment 45sqm city center;9382960;Kareen;Bordeaux;Centre ville (Bordeaux);44.839124960997665;-0.5747594608749199;Entire home/apt;114;3;1;29/07/2016;0.04;69;334
3706637;Appart hyper centre vue quai bâbord;11046885;Edouard;Bordeaux;La Bastide;44.841743062558564;-0.5615007204958754;Entire home/apt;100;3;2;20/06/2016;0.05;2;288
3709245;Charmant 69m2 parking Bordeaux plein centre;9382960;Kareen;Bordeaux;Centre ville (Bordeaux);44.83931585215524;-0.5752431442211388;Entire home/apt;125;90;2;09/06/2015;0.05;69;78
3717878;Appartement Centre Historique Bordeaux;18982647;Gregory;Bordeaux;Centre ville (Bordeaux);44.839568304086754;-0.5716764951643158;Entire home/apt;64;4;54;14/09/2018;1.39;1;356
3718301;Studio with a private terasse;2735557;Thomas;Floirac;Floirac;44.834407978380426;-0.522327546105649;Private room;29;1;86;31/08/2018;1.85;2;271
3729460;T2 CALME ET LUMINEUX CENTRE / PONT DE PIERRE;8048419;Hervin;Bordeaux;La Bastide;44.8412259931607;-0.560029956203706;Entire home/apt;50;1;127;10/09/2018;2.53;1;336
3732992;Apartment in the historic centre of Bordeaux;12410494;Maxime;Bordeaux;Centre ville (Bordeaux);44.846474768973984;-0.5717169983253311;Entire home/apt;95;2;22;08/09/2018;1.56;1;335
3735254;chambre(s)/transfert aéroport Bordeaux;19092197;Geneviève;Saint-Mdard-en-Jalles;Saint-Mdard-en-Jalles;44.89573940408568;-0.7512881507089529;Private room;26;1;66;05/09/2018;1.34;1;354
3735934;Une chambre proche du tram;14803490;Christophe;Le Bouscat;Le Bouscat;44.86374118238247;-0.58519717154434;Private room;45;10;1;01/07/2015;0.03;2;364
3737910;Sunny flat 140m2. Jardin Public;19107880;Marie-Josée;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.84711016284844;-0.5762675971837954;Entire home/apt;150;3;5;06/07/2018;0.18;1;359
